HCHO Reading,Location,Current Date,Next Date,Year,Month,temperature_2m_mean,apparent_temperature_mean,windspeed_10m_max,et0_fao_evapotranspiration,elevation,precipitation_hours,shortwave_radiation_sum,rain_sum
0.0002179323946145,Colombo,2019-05-30,2019-05-31,2019,5,27.5,32.5,16.6,3.75,16.0,18.0,17.8,7.5
9.379307690791867e-05,Colombo,2019-05-31,2019-06-01,2019,5,27.6,32.8,17.7,3.43,16.0,4.0,16.95,0.6
7.067572073902713e-05,Colombo,2019-06-01,2019-06-02,2019,6,28.4,33.6,15.6,4.45,16.0,4.0,21.07,0.6
0.0001658041001064,Colombo,2019-06-02,2019-06-03,2019,6,27.5,32.9,15.6,3.55,16.0,14.0,17.76,3.2
0.0001609821398171,Colombo,2019-06-03,2019-06-04,2019,6,27.1,32.9,18.4,3.22,16.0,14.0,16.16,7.6
8.42250633206326e-05,Colombo,2019-06-04,2019-06-05,2019,6,27.0,32.2,16.9,3.11,16.0,20.0,15.41,14.2
8.42250633206326e-05,Colombo,2019-06-05,2019-06-06,2019,6,26.9,31.9,19.4,3.08,16.0,23.0,15.35,18.9
-7.581763929920271e-05,Colombo,2019-06-06,2019-06-07,2019,6,27.0,32.3,14.1,3.12,16.0,22.0,15.09,17.0
-7.581763929920271e-05,Colombo,2019-06-07,2019-06-08,2019,6,26.8,31.9,18.0,2.85,16.0,21.0,13.65,15.9
0.0001221799295052,Colombo,2019-06-08,2019-06-09,2019,6,27.7,32.3,19.6,3.23,16.0,16.0,14.28,5.0
0.0001843041391111,Colombo,2019-06-09,2019-06-10,2019,6,26.8,31.5,22.2,2.96,16.0,23.0,15.2,16.2
0.0001042950827648,Colombo,2019-06-10,2019-06-11,2019,6,27.4,32.1,18.6,3.19,16.0,9.0,15.04,4.9
8.17687223806277e-05,Colombo,2019-06-11,2019-06-12,2019,6,27.8,32.8,17.7,3.87,16.0,11.0,18.87,3.2
0.0001880614290712,Colombo,2019-06-12,2019-06-13,2019,6,27.7,33.2,18.8,3.11,16.0,20.0,15.3,11.3
2.3285886143280304e-05,Colombo,2019-06-13,2019-06-14,2019,6,27.0,32.6,16.2,2.91,16.0,21.0,14.55,20.5
8.209911205126233e-05,Colombo,2019-06-14,2019-06-15,2019,6,27.4,33.3,14.4,3.32,16.0,14.0,16.51,5.7
0.0001636562089987,Colombo,2019-06-15,2019-06-16,2019,6,27.4,33.0,14.5,3.35,16.0,21.0,16.51,8.9
6.074488532642667e-05,Colombo,2019-06-16,2019-06-17,2019,6,27.8,33.6,15.7,3.24,16.0,14.0,15.95,7.8
0.0001534455988928,Colombo,2019-06-17,2019-06-18,2019,6,28.0,33.5,17.0,3.25,16.0,16.0,15.43,10.4
0.000158330813573,Colombo,2019-06-18,2019-06-19,2019,6,27.9,32.9,17.4,3.47,16.0,19.0,16.47,6.4
0.0001450758394609,Colombo,2019-06-19,2019-06-20,2019,6,28.0,32.9,20.5,3.79,16.0,17.0,18.23,5.6
4.317640515599125e-05,Colombo,2019-06-20,2019-06-21,2019,6,27.4,31.9,22.0,3.21,16.0,21.0,15.26,12.2
9.229919803482012e-05,Colombo,2019-06-21,2019-06-22,2019,6,27.5,31.9,20.5,3.18,16.0,19.0,14.6,7.1
0.0001403497627398,Colombo,2019-06-22,2019-06-23,2019,6,27.1,31.9,21.1,2.99,16.0,20.0,14.78,16.1
1.9792269443138506e-05,Colombo,2019-06-23,2019-06-24,2019,6,27.7,32.6,21.3,3.58,16.0,15.0,17.15,3.5
0.0002885739086195,Colombo,2019-06-24,2019-06-25,2019,6,27.7,33.1,17.5,3.81,16.0,12.0,19.26,3.0
0.0001698958410235,Colombo,2019-06-25,2019-06-26,2019,6,27.3,32.4,16.8,2.94,16.0,10.0,14.32,3.2
-1.718882776913233e-05,Colombo,2019-06-26,2019-06-27,2019,6,27.8,32.4,21.7,3.83,16.0,18.0,18.26,2.7
0.0001242156863718,Colombo,2019-06-27,2019-06-28,2019,6,27.7,32.1,19.5,3.77,16.0,15.0,17.73,3.7
8.171133330754701e-05,Colombo,2019-06-28,2019-06-29,2019,6,27.8,32.3,19.4,4.12,16.0,13.0,19.29,1.6
7.340520263976472e-05,Colombo,2019-06-29,2019-06-30,2019,6,27.8,32.4,21.0,4.21,16.0,12.0,20.62,2.5
2.0964513707570187e-05,Colombo,2019-06-30,2019-07-01,2019,6,27.9,32.6,21.3,3.96,16.0,17.0,19.06,3.1
8.969739342465703e-05,Colombo,2019-07-01,2019-07-02,2019,7,27.8,32.1,20.6,3.93,16.0,12.0,18.46,2.3
8.080856806689084e-05,Colombo,2019-07-02,2019-07-03,2019,7,27.5,32.3,19.9,3.32,16.0,6.0,16.39,2.0
2.889810298407616e-05,Colombo,2019-07-03,2019-07-04,2019,7,27.4,32.3,18.5,3.67,16.0,12.0,18.32,2.6
8.317285235618187e-05,Colombo,2019-07-04,2019-07-05,2019,7,27.4,32.4,17.7,3.49,16.0,8.0,16.72,1.8
9.39126919104318e-05,Colombo,2019-07-05,2019-07-06,2019,7,27.8,32.6,19.0,3.96,16.0,8.0,19.26,1.5
9.547040684925105e-06,Colombo,2019-07-06,2019-07-07,2019,7,27.9,33.1,16.6,3.85,16.0,13.0,18.57,2.0
9.452725531817138e-07,Colombo,2019-07-07,2019-07-08,2019,7,27.8,33.1,16.2,4.2,16.0,12.0,20.28,2.3
0.0001606779140439,Colombo,2019-07-08,2019-07-09,2019,7,27.5,32.8,14.7,4.0,16.0,17.0,19.41,3.5
0.00024779655935,Colombo,2019-07-09,2019-07-10,2019,7,26.7,31.9,14.0,3.44,16.0,15.0,17.52,5.4
5.047959159020286e-05,Colombo,2019-07-10,2019-07-11,2019,7,26.5,31.8,18.8,3.58,16.0,13.0,18.39,6.4
6.685329661024943e-05,Colombo,2019-07-11,2019-07-12,2019,7,27.4,32.9,13.9,3.77,16.0,10.0,18.32,2.9
0.0001352754338604,Colombo,2019-07-12,2019-07-13,2019,7,26.7,32.2,13.4,3.89,16.0,13.0,20.01,3.8
0.0001169642800239,Colombo,2019-07-13,2019-07-14,2019,7,26.8,31.8,13.7,3.87,16.0,11.0,19.83,4.2
3.06090383772373e-05,Colombo,2019-07-14,2019-07-15,2019,7,26.4,31.8,14.2,3.83,16.0,11.0,19.87,5.0
3.06090383772373e-05,Colombo,2019-07-15,2019-07-16,2019,7,27.1,31.8,20.5,3.9,16.0,15.0,19.44,2.7
9.32507996651824e-05,Colombo,2019-07-16,2019-07-17,2019,7,27.2,32.2,18.0,3.32,16.0,13.0,16.3,6.2
5.911798409791456e-05,Colombo,2019-07-17,2019-07-18,2019,7,27.2,31.2,22.0,3.46,16.0,24.0,15.65,20.6
3.329885377230573e-05,Colombo,2019-07-18,2019-07-19,2019,7,26.5,28.9,33.0,3.16,16.0,23.0,14.4,33.3
9.77121531808704e-05,Colombo,2019-07-19,2019-07-20,2019,7,27.1,29.9,27.1,3.88,16.0,14.0,16.68,4.0
9.77121531808704e-05,Colombo,2019-07-20,2019-07-21,2019,7,26.9,31.3,22.7,3.32,16.0,17.0,16.07,6.4
0.0001328017366567,Colombo,2019-07-21,2019-07-22,2019,7,26.6,31.5,18.0,3.19,16.0,20.0,16.26,15.1
0.0001328017366567,Colombo,2019-07-22,2019-07-23,2019,7,27.1,31.1,19.1,3.64,16.0,5.0,16.4,1.5
-1.0360142278733146e-05,Colombo,2019-07-23,2019-07-24,2019,7,27.0,31.9,18.1,4.19,16.0,3.0,21.59,0.5
5.20387301457421e-05,Colombo,2019-07-24,2019-07-25,2019,7,26.8,31.6,16.1,3.94,16.0,13.0,19.96,4.0
